timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681660652722,306,https://eticket.railway.gov.bd/en-1,200,OK,ResDownload-Thread-2,text,true,,1055,553,0,0,https://d19qjkjk65tfln.cloudfront.net:443/v2/assets/styles/learn.css?v=1.4.10,306,0,0
1681660652705,218,https://eticket.railway.gov.bd/en-14,200,OK,Thread Group 1-1,bin,true,,9454,1439,1,1,https://d19qjkjk65tfln.cloudfront.net:443/v2/assets/img/home/bangladesh-railway.png,79,0,0
1681660652705,79,https://eticket.railway.gov.bd/en-0,301,Moved Permanently,,text,true,,390,880,0,0,https://eticket.railway.gov.bd/v2/assets/img/home/bangladesh-railway.png,79,0,0
1681660652784,139,https://eticket.railway.gov.bd/en-1,200,OK,ResDownload-Thread-5,bin,true,,9064,559,0,0,https://d19qjkjk65tfln.cloudfront.net:443/v2/assets/img/home/bangladesh-railway.png,139,0,0
1681660652707,497,https://eticket.railway.gov.bd/en-15,200,OK,Thread Group 1-1,bin,true,,52824,1423,1,1,https://d19qjkjk65tfln.cloudfront.net:443/img/bangladesh-railway-loader.gif,76,0,0
1681660652707,76,https://eticket.railway.gov.bd/en-0,301,Moved Permanently,,text,true,,382,872,0,0,https://eticket.railway.gov.bd/img/bangladesh-railway-loader.gif,76,0,0
1681660652784,420,https://eticket.railway.gov.bd/en-1,200,OK,ResDownload-Thread-4,bin,true,,52442,551,0,0,https://d19qjkjk65tfln.cloudfront.net:443/img/bangladesh-railway-loader.gif,363,0,61
1681660652747,93,https://eticket.railway.gov.bd/en-16,200,OK,Thread Group 1-1,bin,true,,45171,900,1,1,https://eticket.railway.gov.bd/v2/assets/img/home/home-banner-campaign-10-04-2023.webp?v=1.0,81,0,0
1681660652846,998,https://eticket.railway.gov.bd/en-17,200,OK,Thread Group 1-1,bin,true,,94885,1467,1,1,https://d19qjkjk65tfln.cloudfront.net:443/v2/assets/img/home/Campaign-Banner-Nagad-13-04-2023.png,76,0,0
1681660652846,76,https://eticket.railway.gov.bd/en-0,301,Moved Permanently,,text,true,,404,894,0,0,https://eticket.railway.gov.bd/v2/assets/img/home/Campaign-Banner-Nagad-13-04-2023.png,76,0,0
1681660652922,922,https://eticket.railway.gov.bd/en-1,200,OK,ResDownload-Thread-8,bin,true,,94481,573,0,0,https://d19qjkjk65tfln.cloudfront.net:443/v2/assets/img/home/Campaign-Banner-Nagad-13-04-2023.png,292,0,0
1681660652849,2358,https://eticket.railway.gov.bd/en-18,200,OK,Thread Group 1-1,bin,true,,128383,1465,1,1,https://d19qjkjk65tfln.cloudfront.net:443/v2/assets/img/home/Campaign-Banner-DBBL-13-04-2023.png,75,0,0
1681660652849,75,https://eticket.railway.gov.bd/en-0,301,Moved Permanently,,text,true,,403,893,0,0,https://eticket.railway.gov.bd/v2/assets/img/home/Campaign-Banner-DBBL-13-04-2023.png,75,0,0
1681660652925,2282,https://eticket.railway.gov.bd/en-1,200,OK,ResDownload-Thread-7,bin,true,,127980,572,0,0,https://d19qjkjk65tfln.cloudfront.net:443/v2/assets/img/home/Campaign-Banner-DBBL-13-04-2023.png,276,0,0
1681660652924,902,https://eticket.railway.gov.bd/en-19,200,OK,Thread Group 1-1,bin,true,,144053,1467,1,1,https://d19qjkjk65tfln.cloudfront.net:443/v2/assets/img/home/Campaign-Banner-Megna-13-04-2023.png,77,0,0
1681660652924,77,https://eticket.railway.gov.bd/en-0,301,Moved Permanently,,text,true,,404,894,0,0,https://eticket.railway.gov.bd/v2/assets/img/home/Campaign-Banner-Megna-13-04-2023.png,77,0,0
1681660653002,824,https://eticket.railway.gov.bd/en-1,200,OK,ResDownload-Thread-5,bin,true,,143649,573,0,0,https://d19qjkjk65tfln.cloudfront.net:443/v2/assets/img/home/Campaign-Banner-Megna-13-04-2023.png,295,0,0
1681660652942,1412,https://eticket.railway.gov.bd/en-20,200,OK,Thread Group 1-1,text,true,,98076,1415,1,1,https://d19qjkjk65tfln.cloudfront.net:443/v2/assets/img/home/search.svg,78,0,0
1681660652942,78,https://eticket.railway.gov.bd/en-0,301,Moved Permanently,,text,true,,378,868,0,0,https://eticket.railway.gov.bd/v2/assets/img/home/search.svg,78,0,0
1681660653020,1334,https://eticket.railway.gov.bd/en-1,200,OK,ResDownload-Thread-6,text,true,,97698,547,0,0,https://d19qjkjk65tfln.cloudfront.net:443/v2/assets/img/home/search.svg,1143,0,39
1681660653030,768,https://eticket.railway.gov.bd/en-21,200,OK,Thread Group 1-1,text,true,,16940,1415,1,1,https://d19qjkjk65tfln.cloudfront.net:443/v2/assets/img/home/select.svg,77,0,0
1681660653030,78,https://eticket.railway.gov.bd/en-0,301,Moved Permanently,,text,true,,378,868,0,0,https://eticket.railway.gov.bd/v2/assets/img/home/select.svg,77,0,0
1681660653108,690,https://eticket.railway.gov.bd/en-1,200,OK,ResDownload-Thread-2,text,true,,16562,547,0,0,https://d19qjkjk65tfln.cloudfront.net:443/v2/assets/img/home/select.svg,689,0,0
